Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sri Lanka,LKA,80496985981.4819
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,St. Kitts and Nevis,KNA,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,St. Lucia,LCA,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,St. Martin (French part),MAF,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,St. Vincent and the Grenadines,VCT,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sudan,SDN,52759040288.0176
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Suriname,SUR,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sweden,SWE,451606984969.736
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Switzerland,CHE,519615575716.042
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Syrian Arab Republic,SYR,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Tajikistan,TJK,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Tanzania,TZA,52110839130.8693
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Thailand,THA,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Timor-Leste,TLS,2091806267.01122
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Togo,TGO,4942762202.21097
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Tonga,TON,496599722.150605
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Trinidad and Tobago,TTO,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Tunisia,TUN,43256330947.106
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Turkiye,TUR,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Turkmenistan,TKM,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Turks and Caicos Islands,TCA,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Tuvalu,TUV,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Uganda,UGA,36156368723.3317
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Ukraine,UKR,97230371453.79
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,United Arab Emirates,ARE,334982821504.815
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,United Kingdom,GBR,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,United States,USA,16379583701103.5
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Uruguay,URY,43224417658.3005
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Uzbekistan,UZB,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Vanuatu,VUT,894540956.989785
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Venezuela, RB",VEN,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Vietnam,VNM,213153252718.515
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Virgin Islands (U.S.),VIR,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,West Bank and Gaza,PSE,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Yemen, Rep.",YEM,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Zambia,ZMB,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Zimbabwe,ZWE,13373492553.4502
